TOTAL NON-UNDERLINED TRAINS (537 TRAINS):
================================================================================

001. Train 12301 | HOWRAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: HWH -> NDLS
507. Train 12469 | BENGALURU - MUGHALSARAI JAN SHATABDI | Category: HUMSAFAR | Route: SBC -> DDU
508. Train 12470 | HYDERABAD - KOTA SAMPARK KRANTI | Category: JAN SHATABDI | Route: HYB -> KOTA
509. Train 12471 | SECUNDERABAD - RATLAM HUMSAFAR | Category: SAMPARK KRANTI | Route: SC -> RTM
510. Train 12472 | VARANASI - VADODARA GARIB RATH | Category: EXPRESS | Route: BSB -> BRC
511. Train 12473 | LUCKNOW - SURAT EXPRESS | Category: VANDE BHARAT | Route: LKO -> ST
512. Train 12474 | KANPUR - BHOPAL MAIL | Category: PREMIUM EXPRESS | Route: CNB -> BPL
513. Train 12475 | PRAYAGRAJ - NAGPUR RAJDHANI | Category: SHATABDI | Route: PRYJ -> NGP
514. Train 12476 | MUGHALSARAI - GUWAHATI SUPERFAST | Category: SUPERFAST | Route: DDU -> GHY
515. Train 12477 | KOTA - DIBRUGARH SF EXPRESS | Category: DURONTO | Route: KOTA -> DBRG
516. Train 12478 | RATLAM - PURI PASSENGER | Category: TEJAS | Route: RTM -> PURI
517. Train 12479 | VADODARA - JAMSHEDPUR SPECIAL | Category: GARIB RATH | Route: BRC -> TATA
518. Train 12480 | SURAT - AGRA JAN SHATABDI | Category: HUMSAFAR | Route: ST -> AGC
519. Train 12481 | BHOPAL - JHANSI SAMPARK KRANTI | Category: JAN SHATABDI | Route: BPL -> VGLJ
520. Train 12482 | NAGPUR - JAIPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: NGP -> JP
521. Train 12483 | GUWAHATI - JODHPUR GARIB RATH | Category: EXPRESS | Route: GHY -> JU
522. Train 12484 | DIBRUGARH - KOCHI EXPRESS | Category: VANDE BHARAT | Route: DBRG -> CHTS
523. Train 12485 | PURI - THIRUVANANTHAPURAM MAIL | Category: PREMIUM EXPRESS | Route: PURI -> TVC
524. Train 12486 | JAMSHEDPUR - GOA RAJDHANI | Category: SHATABDI | Route: TATA -> MAO
525. Train 12487 | AGRA - DELHI SUPERFAST | Category: SUPERFAST | Route: AGC -> NDLS
526. Train 12488 | JHANSI - DELHI SF EXPRESS | Category: DURONTO | Route: VGLJ -> ANVT
527. Train 12489 | JAIPUR - DELHI PASSENGER | Category: TEJAS | Route: JP -> DLI
528. Train 12490 | JODHPUR - PATNA SPECIAL | Category: GARIB RATH | Route: JU -> PNBE
529. Train 12491 | KOCHI - PATNA JAN SHATABDI | Category: HUMSAFAR | Route: CHTS -> PPTA
530. Train 12492 | THIRUVANANTHAPURAM - KOLKATA SAMPARK KRANTI | Category: JAN SHATABDI | Route: TVC -> HWH
531. Train 12493 | GOA - KOLKATA HUMSAFAR | Category: SAMPARK KRANTI | Route: MAO -> SDAH
532. Train 12494 | DELHI - MUMBAI GARIB RATH | Category: EXPRESS | Route: NDLS -> MMCT
533. Train 12495 | DELHI - MUMBAI EXPRESS | Category: VANDE BHARAT | Route: ANVT -> CSMT
534. Train 12496 | DELHI - MUMBAI MAIL | Category: PREMIUM EXPRESS | Route: DLI -> BDTS
535. Train 12497 | PATNA - PUNE RAJDHANI | Category: SHATABDI | Route: PNBE -> PUNE
536. Train 12498 | PATNA - AHMEDABAD SUPERFAST | Category: SUPERFAST | Route: PPTA -> ADI
537. Train 12499 | KOLKATA - CHENNAI SF EXPRESS | Category: DURONTO | Route: HWH -> MAS
